ID;Descrição;Preço em R$
0;HD Seagate 4TB BarraCuda, 3.5', SATA - ST4000DM004;R$ 549,99
1;HD Externo Seagate Expansion, 1TB, USB, Preto - STKM1000400;R$ 379,99
2;HD WD Blue 1TB, 3.5', SATA - WD10EZEX;R$ 249,99
3;HD WD Red Plus, 4TB, 5400 RPM, 3.5', SATA - WD40EFPX;R$ 629,99
4;Case F3 para HD SATA 2.5, USB 3.0, Transparente - CS-U3T;R$ 37,99
5;HD Externo Seagate Expansion 14TB, USB, Preto - STKP14000400;R$ 1.799,99
6;HD Externo Seagate Expansion, 2TB, USB, Preto - STKM2000400;R$ 499,99
7;HD Externo Seagate Expansion, 4TB, USB, Preto - STKM4000400;R$ 769,99
8;HD Seagate IronWolf Pro, 16TB, 7200 RPM, 3.5', SATA - ST16000NT001;R$ 2.299,99
9;HD Toshiba Surveillance S300, 4TB, 5400 RPM, SATA - HDWT840UZSVA;R$ 599,99
10;HD Western Digital Purple, 2TB, 64mb, Sata 3 - WD23PURZ;R$ 449,99
11;HD Externo WD 2TB Elements, USB 3.0, Preto -  WDBU6Y0020BBK;R$ 479,99
12;"HD WD Purple Pro 10TB, 7200RPM, Cache 256MB, 3.5"", SATA - WD101PURP";R$ 1.799,99
13;HD WD Red Plus, 6TB, 5400 RPM, 3.5', SATA - WD60EFPX;R$ 789,99
14;HD Externo Toshiba Portátil Canvio Ready, 1TB, USB 3.0 - HDTP310XK3AA;R$ 319,99
15;HD Externo Seagate Expansion, 5TB, USB, Preto - STKM5000400;R$ 889,99
16;Case F3 Caddy para Notebook, 2.5', SATA - 1167;R$ 15,99
17;HD Externo Seagate Expansion 16TB, USB, Preto - STKP16000400;R$ 2.299,99
18;HD WD Red, 3TB, 3.5´, SATA 6Gb/s - WD30EFAX;R$ 549,99
19;HD Externo Seagate Expansion, 10TB, USB, Preto - STKP10000400;R$ 1.599,99
20;"Case USB 3.0 para HD SATA 2.5"" Externo Transparente Infokit Gaveta para HD Ecase-300";R$ 33,50
21;"HD Toshiba L200, 1TB, 5400RPM, 128MB Cache, 2.5"", para Notebook, SATA - HDWL110UZSVA";R$ 199,99
22;HD Interno WD Gold Enterprise Class, 6TB, 7200 RPM, 3.5´, SATA - WD6003FRYZ;R$ 1.299,99
23;HD Segurança Seagate 2TB Skyhawk Surveillance, Sata 6gbps, 256MB, 3.5Polegadas - St2000vx017;R$ 463,44
24;HD WD Purple Pro 18TB, 3.5´, 7200RPM, Cache 512MB, SATA - WD181PURP;R$ 2.799,99
25;Case para HD Externo 2,5 C3Tech, SATA, USB 2.0, Preto - CH-210BK;R$ 34,99
26;Case para HD Externo 2,5 C3Tech, SATA, USB 3.0, Preto - CH-310BK;R$ 54,99
27;HD Western Digital 1TB Caviar Blue, 7200 RPM, Cachê 64MB, 3.5, SATA III - WD10EZEX;R$ 249,81
28;HD Externo Portátil Seagate 1TB Basic Slim, 2.5, USB 3.0, Preto - STJL1000400;R$ 335,64
29;HD Seagate Skyhawk 4TB, 256 MB, 3.5, SATA - ST4000VX016;R$ 689,99
30;Storage WD NAS My Cloud Expert Series EX2 Ultra 2-Bay Sem Disco - WDBVBZ0000NCH-NESN;R$ 1.499,99
31;HD Interno Western Digital 1TB Purple, 5400 RPM, SATA 3 - WD10PURZ;R$ 331,55
32;HD Seagate 4TB IronWolf Desktop, NAS, 5400 RPM, 256MB, 3.5, SATA 6 - ST4000VN006;R$ 811,13
33;Gaveta HD Case Externo 3.5 Usb 2.0 - Preto - Mymax;R$ 35,11
34;HD Seagate IronWolf Pro, 4TB, 7200 RPM, 3.5', SATA - ST4000NT001;R$ 1.079,99
35;HD WD Purple 8TB, 3.5, SATA - WD84PURZ;R$ 1.499,99
36;Case para HD Externo F3, 2.5´, USB 2.0 - CS-U2;R$ 24,99
37;HD Seagate 2TB Barracuda, 3.5, SATA - ST2000DM008;R$ 463,44
38;HD Interno Seagate 10TB IronWolf, NAS, 7.200 RPM, 256Mb, 3.5, SATA - ST10000VN000;R$ 1.999,99
39;HD Seagate 8TB IronWolf, NAS, 7200 RPM, Cachê 256MB, SATA 3 - ST8000VN004;R$ 1.490,00
40;"HD WD Red Plus, 8TB, 3.5"", SATA - WD80EFZZ";R$ 1.199,99
41;Case Externo USB 3.0 Fast 5Gbps apoio UASP para HD SSD SATA II 2.5, 3TB, LED Colorido, Capa Protetora - Preta;R$ 45,90
42;HD Externo Toshiba 4TB Canvio Ready, USB 3.0, Preto - HDTP340XK3CA;R$ 689,99
43;HD Externo 12TB WD Elements Desktop, USB 3.0, Antichoque, Preto - WDBWLG0120HBK-NESN;R$ 1.699,99
44;HD Seagate SkyHawk AI, 18TB, Cache 256MB, SATA - ST18000VE002;R$ 2.699,99
45;Case Gaveta Externa Para Hd Sata De Notebook 2.5 Usb 2.0 Mymax - Menc/u25ya-bk;R$ 17,51
46;Case F3 para HD Externo, 2.5', USB 3.0 - JC- CS3.0;R$ 49,99
47;HD Interno WD Gold Enterprise Class, 18TB, 7200 RPM, 3.5´, SATA - WD181KRYZ;R$ 3.299,99
48;HD Externo WD 4TB My Passport, USB 3.0, Azul - WDBPKJ0040BBL-WESN;R$ 699,99
49;HD WD Black Performance, 2TB, 3.5', SATA - WD2003FZEX;R$ 698,99
50;"Case para Hd Externo 3,5"" SATA USB 2.0 JC-CS3.5";R$ 79,99
51;HD Seagate 6TB SkyHawk, 3.5', SATA - ST6000VX001;R$ 899,99
52;HD Interno WD Gold Enterprise Class, 8TB, 7200 RPM, 3.5´, SATA - WD8004FRYZ;R$ 1.549,99
53;HD Interno Seagate 16TB SkyHawk AI, 256Mb, 3.5, para Vigilância, SATA - ST16000VE002;R$ 2.199,99
54;Dock Station Mymax, Para 2 HD SATA 2.5, Note E 3.5, PC, Com Botão Clone, Backup - MDCK-HD05U2/SL;R$ 131,12
55;HD Externo 18TB WD Elements Desktop Hard Drive, USB 3.0, Antichoque, Preto - WDBWLG0180HBK-NESN;R$ 2.499,99
56;HD Seagate Exos 7E10, 4TB, 7200 RPM, 3.5', SAS - ST4000NM025B;R$ 1.399,99
57;Case Gaveta HD SSD Externo 2.5 Pol Sata 3 USB 3.0 Velocidade 5.0 Gbps Suporta Até 3TB;R$ 39,99
58;HD Externo Seagate 2TB Expansion, 2.5p, USB 3.0 - STKM2000400;R$ 499,00
59;"HD WD Purple Pro 14TB, 7200RPM, Cache 512MB, 3.5"", SATA - WD141PURP";R$ 2.499,99
60;9.5mm Caddy Adaptador Segundo Hd Ssd Sata Para Dvd Notebook Cor:prata;R$ 19,90
61;HD WD Red, 16TB, 3.5, NAS, Cache 512Mb, 7200 RPM, SATA - WD161KFGX;R$ 2.199,99
62;Storage Synology NAS DS223, 1.7 GHz, 2GB, DDR4, Torre, 2 Baias - DS223;R$ 2.399,99
63;HD WD Red 1TB NAS, 3.5', SATA - WD10EFRX;R$ 389,99
64;Dock Station Usb 3.0 - Hd Sata 2.5 E 3.5 - Preto - Mymax;R$ 175,12
65;HD Seagate 1TB Barracuda, 7200 RPM, Cachê 64MB, SATA III - ST1000DM010;R$ 313,47
66;Hdd Externo Portatil Adata 1TB Azul - AHD710p-1tu31-cbl;R$ 336,00
67;HD Externo Portátil Toshiba 4TB Canvio Basics, 2.5, USB 3.0, Preto - HDTB440XK3CA;R$ 763,20
68;HD Externo Portátil Seagate 1TB Expansion, USB 3.0, Preto - STKM1000400;R$ 369,90
