ID;Descrição;Preço em R$
0;Gravador Dvd Externo Dell Slim - Portátil - Usb - Preto - Dw316;R$ 179,00
1;Drive Goldentec Gravador Externo CD e DVD, Windows, Linux e Mac OS, USB, Preto;R$ 79,90
2;"Gravador DVD Dex DG-200 SATA, 5.25""";R$ 117,90
3;Cartucho De Dados HP Enterprises, 3TB, LTO-5, Ultrium RW, Azul Claro, 1.5TB/3.0TB - C7975A;R$ 339,41
4;Drive Oem, Leitor E Gravador Dvd, Desktop Sata, Preto;R$ 162,00
5;Gravador DVD Externo Bluecase Slim, Portátil, USB 2.0 - Bgde-01sbx;R$ 155,69
6;Leitor CD, DVD, USB Para Lenovo Ideapad 3i-15igl;R$ 199,99
7;Leitor Dvdrw DVD CD USB, Para Lenovo Thinkpad T450s Compatível;R$ 199,99
8;Gravador de CD e DVD Dex Slim, Externo, Plug & Play - Dg-320c;R$ 210,00
9;Cartucho De Dados IBM LTO Ultrium 8, 12TB, Fita 12.0/30.0TB - IB01PL041;R$ 951,83
10;Gravador Dex Dg-100 Leitor Cd Dvd Driver Notebook Pc Externo Slim Pc USB 2.0;R$ 169,90
11;Driver Interno PC 3.5 CD/DVD, Kp-le301 - Knup;R$ 125,33
12;Gravador Leitor Cd DVD USB, Dvdrw, Para Dell Latitude 3450 Compatível;R$ 199,99
13;Gravador DVD Externo Dex DG-300 Slim, USB 3.0, Preto;R$ 179,99
14;Leitor CD, DVD, Para Samsung Chromebook Xe310xba;R$ 199,99
15;Lite-on Gravador De Dvd Externo 8x Slim Writer Ebau108-01 - Preto;R$ 237,96
16;Leitor CD, DVD Para Dell Inspiron I15-i1100-d35p;R$ 199,99
17;Cd-Rom Drive Samsung SH-C522;R$ 74,35
18;Gravador Portátil Zoom, Podtrak P8 Podcast Multitrack;R$ 4.203,50
19;Gravador Interno, DVD-R, CD-RW, DVD+RW, Para Notebook, Preto - Ts-u633a;R$ 134,09
20;Drive Knup Gravador Externo, CD e DVD, Compatível com Notebook e Desktop - Kp-le303;R$ 159,90
21;Leitor Dvdrw DVD CD USB, Para Positivo Motion Q4128c Compatível;R$ 199,99
22;Leitor De Cartão Interno Para Gabinete Gv Brasil, Usb 2.0, Multifuncional - Acr.316;R$ 19,39
23;Leitor DVD CD USB, Para Lenovo Yoga 9 2 Em 1 Compatível;R$ 199,99
24;Gravador Cd DVD USB, Para Fe 15 Vjfe52f11x-b5121h Compatível;R$ 199,99
25;Leitor CD, DVD, USB Para Acer Aspire3 A314-35-c7e8;R$ 199,99
26;Gravador Leitor Cd Dvd Dvdrw, Para Lenovo Ideapad 15itl6 Compatível;R$ 199,99
27;Gravador Drive DVD SATS 18 X Knup, 3.5 Polegadas - Kp-Le301 - Oem;R$ 152,09
28;Fita Sony LTO6, 2500/6250GB - LTX2500;R$ 339,83
29;HP Enterprise LTO-6 Ultrium, 6.25TB, MP RW D ATA Tape - C7976A;R$ 458,35
30;HP Enterprise LTO-7 Ultrium, 15TB, RW Data Cartridge - C7977A;R$ 635,24
31;Leitor CD, DVD, USB, Para Acer A315-58-38sd Dvdrw;R$ 199,99
32;Gravador Leitor Cd DVD, USB, Dvdrw, Para An515-45-r0m5 Compatível;R$ 199,99
33;Gravador Leitor Cd DVD USB, Para Ultra Ub240 Compatível;R$ 199,99
34;Leitor CD, DVD, USB Para Dell Latitude 5420;R$ 199,99
35;Leitor DVD CD USB, Para Compaq Presario 436 Compatível;R$ 199,99
36;Leitor CD, DVD, USB Para Dell G15-i1200-a40p;R$ 199,99
37;Leitor Dvdrw DVD CD USB, Para Positivo Duo C4128b Compatível;R$ 199,99
38;Leitor CD, DVD, USB Para Dell Inspiron 15 I1101;R$ 199,99
39;Leitor CD, DVD, USB, Para Acer Aspire Nitro 5 An515-44;R$ 199,99
40;Fita De Cartucho De Dados Fujifilm Lto Ultrium 7, 6TB, Com Tecnologia De Ferrite De Bário - 16456574f;R$ 560,06
41;Leitor De Cartão SD Otg Cabletime, USB-C A 3.0;R$ 170,91
42;Cartucho De Dados Sony, Fita LTO5, 1500/3000GB - LTX1500;R$ 259,28
43;Cartucho De Dados Fujifilm LTO Ultrium 6, Fita 2.50TB/6.25TB - 16310732F;R$ 381,10
44;SuperDrive Apple, USB, Para Mac 2008 ou Posteriores - Md564be/A;R$ 1.183,03
45;Leitor CD, DVD, USB Para Positivo Motion 14;R$ 199,99
46;Leitor Dvdrw DVD CD USB Para Samsung Xe310xba Compatível;R$ 199,99
47;Leitor CD, DVD, USB Para Acer Aspire 3 A314-35-c1w1;R$ 199,99
48;Leitor CD, DVD, USB Para Lenovo Ideapad 15igl05;R$ 199,99
49;Leitor de CD, DVD, USB, Para Acer Aspire 3 A315-58-38sd;R$ 199,99
50;Leitor CD, DVD, USB Para Dell I15-i1100-a25p;R$ 199,99
51;Gravador Leitor Cd DVD USB, Para Dell Latitude 5490 Compatível;R$ 199,99
52;Leitor CD, DVD, USB Para Asus X515;R$ 199,99
53;Leitor CD, DVD, USB Para Asus X515ja-ej1792;R$ 199,99
54;Leitor Dvdrw DVD, CD, USB, Para Samsung Book Np550xda Compatível;R$ 199,99
55;Leitor E Gravador De Dvd Cd Interno Gabinete Interface Sata;R$ 143,10
56;Drive ASUS Gravador Interno CD/DVD, Leitor CD/DVD, SATA, Preto - DRW-24F1MT/BLK/B/AS;R$ ----
57;Gravador Externo DVD Desktop, SATA, Preto - SH-24X;R$ ----
58;Gravador CD/DVD Faster BL-0224, SATA, 5.25, Preto - FSTDVDBL-0224;R$ ----
59;Drive ASUS Gravador Externo CD/DVD, Leitor CD/DVD, Stylish Diamond, Windows e MAC, USB, Preto - SDRW-08D2S-U/BLK/G/AS;R$ ----
60;Drive ASUS Gravador Externo CD/DVD/Blu-Ray, Leitor de CD/DVD/Blu-Ray, Windows e MAC, USB, Preto - SBW-06D2X-U/BLK/G/AS;R$ ----
61;Drive Gravador Blucase Externo CD/DVD Slim, USB, Preto - BGDE03CASE;R$ ----
