ID;Descrição;Preço em R$
0;Fonte MSI MAG A650BN, 650W, 80 Plus Bronze, PFC Ativo, com cabo, Preto - 306-7ZP2B22-CE0;R$ 267,99
1;Fonte MSI MAG A500DN, 500W, 80 Plus White, PFC Ativo, Com Cabo, Preto - 306-7ZP6A22-809;R$ 279,99
2;Fonte Corsair CV650, 650W, 80 Plus Bronze, com cabo, Preto - CP-9020236-BR;R$ 379,99
3;Fonte MSI MAG A850GL, 850W, 80 Plus Gold, Modular, PFC Ativo, com cabo, Preto;R$ 719,99
4;Fonte XPG Pylon, 650W, 80 Plus Bronze, com cabo, Preto - PYLON650B-BKCBR;R$ 369,99
5;Fonte XPG Kyber, 850W, 80 Plus Gold, Com Cabo, Preto - KYBER850G-BKCBR;R$ 479,99
6;Fonte MSI MAG A550BN, 550W, 80 Plus Bronze, PFC Ativo, com cabo, Preto - 306-7ZP2A22-CE0;R$ 279,99
7;Fonte Gigabyte GP-P450B, 450W, 80 Plus Bronze, PFC ativo, com cabo, Preto - 28200-P450B-1BRR;R$ 234,99
8;Fonte MSI MAG A600DN, 600W, 80 Plus White, PFC Ativo, Com Cabo, Preto - 306-7ZP6B22-809;R$ 399,99
9;Fonte Corsair CV550, 550W, 80 Plus Bronze, PFC Ativo, com cabo, Preto - CP-9020210-BR;R$ 349,99
10;Fonte Gigabyte GP-P550B, 550W, 80 Plus Bronze, PFC ativo, com cabo, Preto- 28200-P550B-1BRR;R$ 289,99
11;Fonte Cooler Master MWE Bronze V2 Full Range, 750W, 80 Plus Bronze, PFC Ativo, sem cabo, Preto - MPE-7501-ACAAW-BBR;R$ 464,99
12;Fonte Gamemax GX650, 650W, 80 Plus Gold, Modular, PFC Ativo, com cabo, Preto - GX650MBKV1S7710BR;R$ 419,99
13;Fonte Fortrek PWS-2003, 200W, ATX, 20+4P, Bivolt, Prata - FK420P;R$ 45,99
14;Fonte Gamemax GX600, 600W, 80 Plus Gold, PFC Ativo, com cabo, Preto - GX600WBKPSS7710BR;R$ 369,99
15;Fonte XPG Kyber, 750W, 80 Plus Gold, Com Cabo, Preto - KYBER750G-BKCBR;R$ 469,99
16;Fonte Aerocool VX-350, 350W, sem cabo, Preto - EN57181;R$ 122,99
17;Fonte Fortrek Black Hawk, 500W, 80 Plus Bronze, PFC Ativo, sem cabo, Preto - 70459;R$ 217,99
18;Fonte Gigabyte P650B, 650W, 80 Plus Bronze, PFC Ativo, com cabo, Preto - GP-P650B/BR;R$ 359,99
19;Fonte Gigabyte Ultra Durable UD850GM, 850W, 80 Plus Gold, Modular, PFC Ativo, sem cabo, Preto - GP-UD850GM;R$ 699,99
20;Fonte Gamemax GX700, 700W, 80 Plus Gold, PFC Ativo, com cabo, Preto - GX700WBKPSS7710BR;R$ 469,99
