ID;Descrição;Preço em R$
0;Kit Brx Placa Mãe H55 + Processador Intel Core I3 + Memória 4GB Com 2GB+2GB DDR3;R$ 209,19
1;Kit Upgrade, Placa Mãe H81 + Processador I5 4570  + Memoria 8Gb Ddr3 + Cooler;R$ 443,04
2;Kit Upgrade Neologic Nli84048 AMD Ryzen 5 4500, Placa Mãe A320m Prime Asus, 16GB DDR4;R$ 1.386,93
3;Kit Upgrade Powerpc com Placa Mãe H110 + Processador I5 6500 + Memoria 8 GB DDR4 + Cooler;R$ 745,00
4;Kit Upgrade com Placa Mãe H61 + Processador I5 2400 + Memoria 8GB DDR3 + Cooler Rede 10 100;R$ 347,75
5;Kit Placa-Mãe H61 + Processador I5 3470 + Memória 8GB  + Cooler + SSD 256GB M2;R$ 538,93
6;Kit Placa Mãe H81 + Processador I3 4130 + Memória Ram 8 Gb 1600Mhz Ddr3 + Cooler;R$ 354,41
7;Kit Upgrade, Placa Mãe H81 + Proc. I5 4570  + Mem. 16GB Ddr3 + Cooler + M.2 256GB;R$ 669,15
8;Kit Upgrade Kaikora, Placa-Mãe H81 + Intel I5 4ª Geração + Memória 16GB DDR3;R$ 650,00
9;Kit Upgrade Powerpc com Placa Mãe H110 + Processador I3 6100 + Memoria 8 GB DDR4 + Cooler;R$ 606,30
10;Kit Upgrade Neologic Nli84110 AMD Ryzen 5 5600g, Placa Mãe A520m-e Prime Asus, 16GB DDR4,;R$ 1.819,02
11;Kit Upgrade - Placa-Mãe H61 + Proc. I5 3470 + Memória 16GB DDR3 + Cooler - Rede 10/100;R$ 447,15
12;Kit Placa Mãe H61 + Processador I5 3470  + Memoria 8GB, DDR3 + Cooler;R$ 385,15
13;Kit Placa Mãe H61, LGA 1155, DDR3, Processador I3 3220 e Cooler;R$ 237,18
14;Kit Upgrade Deutel Intel I5 2400 + Placa H61 1155 + 8GB 1600 Mhz;R$ 412,20
15;Kit Placa Mãe H81 + Processador I5 4570  + Memoria 8 Gb Ddr3 + Cooler;R$ 682,65
16;Kit Placa-Mãe H81 + Processador I5 4570 + Memória 8GB DDR3 + Cooler + SSD 240GB M2;R$ 609,39
17;Kit Intel Core I7 6ª Geração Oem, H110, Memória 16GB DDR4;R$ 1.498,00
