ID;Descrição;Preço em R$
0;Memória Rise Mode Z, 8GB, 3200MHz, DDR4, CL16, Preto - RM-D4-8G-3200Z;R$ 119,99
1;Memória Rise Mode Diamond 16GB, 3200MHz, DDR4, CL15, White - RM-D4-16G-3200D;R$ 219,99
2;Memória Gamer Husky Gaming Avalanche, 16GB, 3200MHz, DDR4, CL19, Preto - HGMF008;R$ 199,99
3;Memória Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8;R$ 149,99
4;Memória Rise Mode, 8GB, 1600MHz, DDR3, CL11 - RM-D3-8G1600V;R$ 56,99
5;Memória Gamer Husky Gaming Avalanche, 8GB, 3200MHz, DDR4, CL19, Preto - HGMF007;R$ 119,99
6;Memória Kingston Fury Beast RGB, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB12A/16;R$ 289,99
7;Memória Kingston Fury Impact, 8GB, 3200MHz, DDR4, CL20, Para Notebook - KF432S20IB/8;R$ 145,99
8;Memoria Gamer Rise Mode Value, 16GB, 3200MHZ, DDR4, CL16, Para Notebook - RM-D4-16G-3200VN;R$ 189,99
9;Memória Kingston Fury Beast, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB1/16;R$ 289,99
10;Memória Rise Mode Z, 8GB, 3200MHz, DDR4, CL16, Branco - RM-D4-8G-3200ZW;R$ 119,99
11;Memória para Notebook Kingston Fury Impact, 16GB, 3200MHz, DDR4, CL20 - KF432S20IB/16;R$ 275,99
12;Memoria Gamer Rise Mode Value, 8GB, 2666MHZ, DDR4, CL17, Para Notebook - RM-D4-8G-2666VN;R$ 99,99
13;Memória Husky Technologies, 8GB, 2666MHz, DDR4, CL19, para Notebook - HTCQ001;R$ 109,99
14;Memória Rise Mode, 4GB, 1600MHz, DDR3, CL11, para Notebook - RM-D3-4G1600N;R$ 39,99
15;Memória Gamer Husky Gaming, 16GB, 2666MHz, DDR4, CL19, Preto - HGMF002;R$ 199,99
16;Memória Kingston Fury Beast RGB, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB2A/8;R$ 189,99
17;Memória XPG Gammix D30, 8GB, 3200MHz, DDR4, CL19, Cinza - AX4U32008G16A-SB30;R$ 129,99
18;Memória Kingston Fury Beast RGB, 32GB (2x16GB), 3200MHz, DDR4, CL16, Preto - KF432C16BB12AK2/32;R$ 639,99
19;Memória Kingston, 8GB, 2666MHz, DDR4, CL19, para Desktop - KVR26N19S6/8;R$ 105,99
20;Memória Corsair Vengeance LPX, 8GB, 3200MHz, DDR4, CL16, Preta - CMK8GX4M1E3200C16;R$ 149,99
21;Memória Lexar, 16GB, 3200MHz, DDR4, CL22 - LD4AU016G-B3200GSST;R$ 185,99
22;Memória XPG Spectrix D50, RGB, 8GB, 3600MHz, DDR4, CL18, Cinza - AX4U36008G18I-ST50;R$ 189,99
23;Memória XPG Spectrix D35G, RGB, 16GB, 3200MHz, DDR4, CL16, Branco - AX4U320016G16A-SWHD35G;R$ 279,99
24;Memória Kingston Fury Beast, RGB, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BBA/8;R$ 199,99
25;Memória Corsair Vengeance LPX, 8GB, 2666MHz, DDR4, C16, Preto - CMK8GX4M1A2666C16;R$ 154,99
26;Memória XPG Gammix D35, 16GB, 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-SBKD35;R$ 249,99
27;Memória XPG Gammix D10 8GB, 3200MHz, DDR4, CL16, Preto - AX4U32008G16A-SB10;R$ 145,99
28;Memória Kingston Fury Beast, 8GB, 2666MHz, DDR4, CL16, Preto - KF426C16BB/8;R$ 159,99
29;Memória Adata XPG, 8GB, 2666MHz, DDR4, CL19, Verde, Para Notebook - AD4S26668G19-SGN;R$ 119,99
30;Memória Crucial Basics, 8GB, 2666MHz, DDR4, CL19 - CB8GU2666;R$ 119,99
31;Memória Crucial, 8GB, 3200MHz, DDR4, CL22, para Notebook - CT8G4SFRA32A;R$ 149,99
32;Memória Corsair Vengeance LPX 32GB (2x16GB), 3600MHz, DDR4, C18, Preto - CMK32GX4M2D3600C18;R$ 599,99
33;Memória Corsair Vengeance Series, 16GB, 3200MHz, DDR4, CL22, para Notebook, Preto - CMSX16GX4M1A3200C22;R$ 279,99
34;Memória XPG Lancer, RGB, 32GB (2x16GB) 6000MHz, DDR5, CL40 - AX5U6000C4016G-DCLARBK;R$ 989,99
35;Memória Kingston Fury Impact, 8GB, 2666MHz, DDR4, CL15, para Notebook - KF426S15IB/8;R$ 149,99
36;Memória XPG Gammix D45, 8GB, 3600MHz, DDR4, CL18, Preto - AX4U36008G18I-CBKD45;R$ 159,99
37;Memória Kingston Fury Impact, 16GB, 2666MHz, DDR4, CL16, para Notebook - KF426S16IB/16;R$ 279,99
38;Memória Kingston Fury Beast, RGB, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BBA/16;R$ 299,99
