ID;Descrição;Preço em R$
0;Placa Usb 3.0 Interna Com 4 Portas Pci-express 5 Gbps;R$ 95,80
1;Placa Pci Com 5 Portas Usb 2.0 480 Mbps Dp-52;R$ 20,90
2;Placa De Som Pci-express 5.1 Com 6 Canais Dp-65 Dex;R$ 65,90
3;Placa De Som Externa USB, Som Virtual 7.1, Microfone - AD0021;R$ 26,99
4;Placa USB 3.0 5gbps Pci-e X1 Com 2 Portas + Perfil Baixo Comm5 - 2usb-pci-e;R$ 64,39
5;Placa De Rede Tplink Archer T4u Plus, USB, Wifi/bluetooth, Ac1300, Dual Band, 5819;R$ 195,00
6;Placa Pci Express 4.0 4x, Para HD, SSD Nvme M.2 F3 Pla-nm - 1506;R$ 33,55
7;Placa USB 3.0 PCI Express 1x PC Computador 4 Portas Saidas;R$ 67,15
8;Placa De Som Gamer Creative, Pci-e Express High-Performance Sound Blaster Z Se - 70sb150000004;R$ 1.728,73
9;Placa USB 3.0 Pci Express X1, 2 Portas Com Low Profile Perfil Baixo Feasso - Jpu-03;R$ 149,00
10;Placa Controladora Comtac Pci Com 1 Porta Paralela 9016;R$ 36,50
11;Placa De Som, Sound Blaster X G6, 7.1 Para Ps4, Xbox One, Nintendo Switch E Pc - 70sb177000000;R$ 2.776,87
12;Placa De Som PCI, 5.1 Canais - 32 Bits;R$ 178,19
13;Placa de Som DEX X1, PCIe, Usb 3.0 5gbps Com 4 Portas.;R$ 78,20
14;Servidor Lenovo St50 V2 Xeon E-2324g, 16GB, hdtb;R$ 7.443,63
15;Placa De Som Asus Xonar U5, Usb, Canal 5.1 - 90YB00FB-M0UC00;R$ 625,00
16;Placa Controladora Akasa Vegas Para Fitas Led - Até 8 Dispositivos Rgb - Ak-rld-03;R$ 169,19
17;Placa De Som, Creative Sound, Blaster Play 4 Externo;R$ 322,05
18;Interface Ethernet Bematech Mp-4200 Th;R$ 443,85
19;Placa Controladora Pci-e X1 Usb 3.0 (5gbps) Com 4 Portas Usb;R$ 101,60
20;Placa De Som - 5.1 Canais - Pci-e;R$ 204,29
21;Placa Pci 2 Portas Seriais Comtac 9015;R$ 42,00
22;Placa PCI Express, Com 2 Portas USB 3.0, Akasa, AK-PCCU3-01;R$ 173,69
23;Placa De Som PCI com 5 Canais DP-61, PC0046DEX;R$ 89,90
24;Placa Pci F3 Express X1, 2 Seriais, 1 Paralela, Low Profile - Jc-Pci-Prs;R$ 67,15
25;Kit Placa DVR Seykon Pci Sk-9808 8 Canais Real Time;R$ 313,80
26;Hd Servidor Seagate Exos X18 12TB Sata 6GB/s 7200rpm 256MB 512e 4kn 3.5Polegadas - St12000nm001j;R$ 2.307,61
27;Placa De Expansão Pcie Gen 3 X4 20GBps, USB-C 3.2 Gen2x2;R$ 289,90
28;Placa Pci Express Com 2 Portas Usb 3.0;R$ 144,89
29;Controladora HBA 330, 12GBps, Família Dell 14g;R$ 441,00
30;Placa De Som Multi 5.1 Barramento Pai GA141;R$ 139,89
31;Placa Pci Feasso,  4 Portas USB 2.0 + 1 Porta USB 2.0, Interna Chipset Via - Jpu-01;R$ 74,90
32;Placa Pci Importado Pci-e C/ 2 Usb 3.0;R$ 116,30
33;Placa de Som Interna GV Brasil, PCIe, Canais 5.1, Verde - PCI.015;R$ ----
34;Placa De Som Creative Sound Blaster Audigy - Fx Pci-e 5853;R$ ----
35;Placa de Som Interna Creative Labs SB1500 Sound Blaster Z, PCIe, Canais 5.1, Vermelho - 70SB150000000;R$ ----
36;Placa de Som Interna Creative Labs SO Sound Blaster Audigy Rx BOX, PCIE, Canais 7.1, Preto - 70SB155000001;R$ ----
37;Placa de Som Interna MD9, PCIe, 5.1 Canais, Preto - 7088;R$ ----
38;Placa de Som Interna Asus Strix Raid Pro, PCIe, Canais 7.1, Preto  - 90YB00I0-M0UA00;R$ ----
39;Placa de Som Interna Asus Strix Soar, PCIe, Canais 7.1, Preto - 90YB00J0-M0UA00;R$ ----
40;Placa de Som Interna Asus Xonar AE, PCIe, Canais 7.1, Preto - 90YA00P0-M0UA00;R$ ----
41;Placa de Som para Notebook Creative Sound Blaster X-Fi - 70SB095000004;R$ ----
42;Placa de Som Externa Startech.com, USB, 8 Canais 7.1, Prata - ICUSBAUDIO7D;R$ ----
43;Placa de Som Interna Vinik PCI 5.1, Verde - PS51-PCI;R$ ----
44;Placa de Som Interna Asus Xonar SE, PCIe, Canais 5.1, Preto  - 90YA00T0-M0UA00;R$ ----
45;Placa de Som Externa Sharkoon Mobile DAC PD, USB - Mobile DAC PD;R$ ----
