ID;Descrição;Preço em R$
0;Placa Mãe MSI A520M-A PRO, AMD AM4, mATX, DDR4;R$ 339,99
1;Placa Mãe Asus TUF GAMING A520M-PLUS II, AMD AM4, mATX, DDR4;R$ 499,99
2;Placa-Mãe MSI MPG B550 Gaming Plus, AMD AM4, ATX;R$ 1.199,99
3;Placa Mãe MSI B560M PRO-E, Intel LGA 1200, mATX, DDR4;R$ 434,99
4;Placa-Mãe MSI B550M Pro-VDH WiFi, AMD AM4, mATX;R$ 699,99
5;Placa Mãe Gigabyte B450M K, AMD AM4, mATX, DDR4;R$ 429,99
6;Placa Mãe Gigabyte B550M Aorus Elite, AMD AM4, Micro ATX, DDR4;R$ 879,99
7;Placa-Mãe Asus TUF Gaming B450M-Plus II, AMD AM4, mATX, DDR4;R$ 634,99
8;Placa Mãe Gigabyte A520M DS3H V2, AMD, Micro ATX, DDR4 - A520M DS3H V2;R$ 449,99
9;Placa Mãe Gigabyte A520M K V2 (rev. 1.0), AMD, Micro ATX, DDR4 - A520M K V2;R$ 389,99
10;Placa Mãe MSI H310M PRO-VDH, Intel 1151, m-ATX, DDR4 - H310M PRO-VDH;R$ 259,99
11;Placa-Mãe Gigabyte H510M H V2, Intel LGA 1200, 10ª E 11ª Geração, mATX, DDR4 - H510M H V2;R$ 599,99
12;Placa Mãe MSI A320M-A Pro, AMD AM4, mATX, DDR4;R$ 299,99
13;Placa Mãe Gigabyte B550M DS3H, AMD AM4, Micro ATX, DDR4;R$ 719,99
14;Placa Mãe ASRock B450M Steel Legend, AMD AM4, mATX, DDR4;R$ 699,99
15;Placa Mãe Gigabyte B760M AORUS ELITE (rev. 1.0), LGA 1700, DDR5;R$ 1.499,99
16;Placa Mãe ASRock B450M-HDV R4.0, AMD AM4, Micro ATX, DDR4;R$ 299,99
17;Placa Mãe MSI B450M-A Pro Max, AMD AM4, Micro-ATX, DDR4;R$ 399,99
18;Placa-Mãe MSI B450M Pro-VDH Max p/ AMD AM4, m-ATX, DDR4;R$ 489,99
19;Placa Mãe Asus Prime A520M-E, AMD AM4, mATX, DDR4;R$ 469,99
20;Placa Mãe Gigabyte H410M H V2, Intel, Micro ATX, DDR4 - H410M H V2;R$ 469,99
21;Placa Mãe ASRock H610M-HVS Intel, M-ATX, DDR4, Socket LGA 1700, HDMI, VGA;R$ 449,99
22;Placa Mãe Asus Prime H610M-E D4, Intel LGA 1700, mATX, DDR4;R$ 649,99
23;Placa Mãe Gigabyte B550M Aorus Elite, AMD AM4, Micro ATX, DDR4;R$ 1.042,62
24;Placa Mãe Asus TUF Gaming B550M-Plus, AMD AM4, mATX, DDR4;R$ 919,99
25;Placa Mãe ASRock B650M PG Riptide, AMD, Micro ATX, DDR5 - 90-MXBJ9*;R$ 1.379,99
26;Placa Mãe Asus TUF Gaming X570-Plus Wi-Fi, AMD AM4, ATX, DDR4;R$ 1.549,99
27;Placa-Mãe Gigabyte H510M REV.1.0, Intel LGA 1200 10ª E 11ª Geração, mATX, DDR4 - H510M H;R$ 591,82
28;Placa Mãe Gigabyte B450M Gaming, AMD AM4, mATX, DDR4;R$ 607,00
29;Placa Mãe Gigabyte A520M DS3H, AMD AM4, Micro ATX, DDR4;R$ 499,99
30;Placa-Mãe Gigabyte H610M-H, Intel 1700, 2xDDR4, M.2, HDMI, VGA, 12ª Geração;R$ 613,22
31;Placa Mãe Gigabyte Z690 UD, Intel LGA 1700, ATX, DDR4, M.2 NVMe, (rev. 1.0);R$ 1.599,99
32;Placa Mãe Gigabyte B450M DS3H V2, AMD B450, mATX, DDR4, (rev. 1.0);R$ 619,99
33;Placa Mae Asus Intel 1200, DDR4, HDMI/VGA 10/11° Geração, Prime H510m-e;R$ 647,82
34;Placa-Mãe Asus Prime D4, Intel LGA 1700, mATX, DDR4 - H610M-E;R$ 549,90
35;Placa-Mãe Asus Prime B550m-A, AM4 DDR4, VGA DVI-D, HDMI M.2 Usb3.2;R$ 649,90
36;Placa-Mãe Asus TUF Gaming B550M-PLUS, AMD AM4, mATX , DDR4, M.2, Aura para fita RGB - 90MB14A0-C1BAY0;R$ 909,90
37;Placa-Mãe Gigabyte H310M-M.2, Intel LGA 1151 8ª Geração;R$ 449,00
38;Placa-Mãe MSI PRO H610M-G, Intel LGA 1700, mATX, DDR4;R$ 612,79
39;Placa Mãe Gigabyte Z690 UD AX (rev. 1.0), Intel LGA 1700, ATX, DDR4, M.2 NVME, WIFI - Z690 UD AX;R$ 1.449,99
40;Placa Mãe Gigabyte B550m K, Amd Am4, Chipset B550, Matx, Ddr4 - B550m K;R$ 679,00
41;Placa-Mãe Gigabyte A520m S2h, AMD AM4, M-ATX, DDR4;R$ 465,00
42;Placa-Mãe Asrock H610m, P/ Intel LGA 1700 (Intel 13ª E 12ª Geração), Matx, DDR4 - H610m-Hvs/M.2 R2.0;R$ 603,24
43;Placa Mãe Gigabyte H610M H V2, Intel, M-ATX, DDR4 - H610M H V2 DDR4;R$ 599,99
44;Placa Mãe Gigabyte H410M S2H V2, Intel, LGA1200, m-ATX, DDR4;R$ 449,99
