ID;Descrição;Preço em R$
0;SSD Rise Mode Gamer M.2 Z Series 2TB M.2, NVMe, Leitura: 3500MB/s e Gravação: 3100MB/s - RM-SSD-2TB-M2;R$ 749,99
1;SSD 128GB KBM! Gaming, SATA III, Leitura 570 MB/s, Gravação 500 MB/s - KGSSD100128;R$ 79,99
2;SSD 1 TB Kingston NV2, M.2 2280 PCIe, NVMe, Leitura: 3500 MB/s e Gravação: 2100 MB/s - SNV2S/1000G;R$ 379,99
3;SSD 500 GB Kingston NV2, M.2 2280 PCIe, NVMe, Leitura: 3500 MB/s e Gravação: 2100 MB/s - SNV2S/500G;R$ 249,99
4;SSD 480 GB Kingston A400, SATA, Leitura: 500MB/s e Gravação: 450MB/s - SA400S37/480G;R$ 219,99
5;SSD 256GB KBM! Gaming, SATA III, Leitura 570 MB/s, Gravação 500 MB/s - KGSSD100256;R$ 129,99
6;SSD 240 GB Kingston A400, SATA, Leitura: 500MB/s e Gravação: 350MB/s - SA400S37/240G;R$ 159,99
7;SSD 1 TB Kingston Fury Renegade, M.2 2280 PCIe, NVMe, Leitura: 7300MB/s e Gravação: 6000MB/s, Preto - SFYRS/1000G;R$ 519,99
8;SSD 512GB KBM! Gaming, SATA III, Leitura 520 MB/s, Gravação 450 MB/s - KGSSD100512;R$ 169,99
9;SSD 960 GB Kingston A400, SATA, Leitura: 500MB/s e Gravação: 450MB/s - SA400S37/960G;R$ 369,99
10;SSD 256GB KBM! Gaming, M.2 NVMe, PCIe, Leitura 1800 MB/s, Gravação 1300 MB/s - KGSSD300256;R$ 119,99
11;SSD Adata SU650, 512GB, SATA, Leitura: 520MB/s e Gravação: 450MB/s, Preto - ASU650SS-512GT-R;R$ 189,99
12;SSD 480GB WD Green PC SN350, PCIe, NVMe, Leitura: 2400MB/s e Gravação: 1650MB/s - WDS480G2G0C;R$ 199,99
13;SSD 1TB Kingston KC3000, M.2 2280 PCIe, NVMe, Leitura: 7000MB/s e Gravação: 6000MB/s - SKC3000S/1024G;R$ 699,99
14;SSD Externo 1 TB Sandisk, USB, Leitura: 520MB/s - SDSSDE30-1T00-G25;R$ 419,99
15;SSD Adata Legend 710, 512GB, M.2 2280 PCIe GEN3x4, NVMe 1.4, Leitura: 2.400 MB/s e Gravação: 1.800 MB/s, Azul - ALEG-710-512GCS;R$ 204,99
16;SSD Rise Mode Gamer Line 120GB, SATA, Leitura 535MB/s, Gravação 435MB/s - RM-SSD-120;R$ 69,99
17;SSD Kingston NV2 250 GB, M.2 2280 PCIe, NVMe, Leitura: 3000 MB/s e Gravação: 1300 MB/s - SNV2S/250G;R$ 219,99
18;SSD PNY CS1031 500 GB, M.2 2280 PCIe Gen3x4, NVMe 1.4, Leitura: 2200 MB/s e Gravação: 1200 MB/s, Preto - M280CS1031-500-CL;R$ 179,99
19;SSD 480 GB WD Green, SATA, Leitura: 545MB/s e Gravação: 430MB/s - WDS480G3G0A;R$ 259,99
20;SSD 256 GB XPG S41 TUF, M.2 PCIe NVME, HEATSINK, Leitura: 3500MB/s e Gravação: 1000MB/s - AGAMMIXS41-256G-C;R$ 149,99
21;SSD 240 GB WD Green, SATA, Leitura: 545MB/s e Gravação: 430MB/s - WDS240G3G0A;R$ 159,99
22;SSD 128 GB Husky Gaming, M.2 NVMe, Leitura: 1300MB/s e Gravação: 600MB/s - HGML002;R$ 89,99
23;SSD 2 TB Kingston Fury Renegade, M.2 2280 PCIe, NVMe, Leitura: 7300MB/s e Gravação: 7000MB/s, Preto - SFYRD/2000G;R$ 1.299,99
